Timestamp	Process	TID	Area	Category	EventID	Level	Message	Correlation
12/03/2019 05:32:07.653 	com.microsoft.Word	0x1126015c0	                        com.microsoft.Word	Orapi	cpknf	Information 	Successfully got the registry values	E01334F4-0EE6-4C4D-A582-921B982051CB 
12/03/2019 05:32:07.653 	com.microsoft.Word	0x1126015c0	                        com.microsoft.Word	Experiment Liblet	bmsqi	Information 	RegistryWrapper::RegistryWrapper > Found peristent data in old format. {"Path": "Microsoft.Office.Experimentation.Registry.word.Overrides", "NumValues": 0}	E01334F4-0EE6-4C4D-A582-921B982051CB 
12/03/2019 05:32:07.653 	com.microsoft.Word	0x1126015c0	                        com.microsoft.Word	Orapi	cpknf	Information 	Successfully got the registry values	E01334F4-0EE6-4C4D-A582-921B982051CB 
12/03/2019 05:32:07.653 	com.microsoft.Word	0x1126015c0	                        com.microsoft.Word	Experiment Liblet	bmsqi	Information 	RegistryWrapper::RegistryWrapper > Found peristent data in old format. {"Path": "Microsoft.Office.Experimentation.Registry.all.Overrides", "NumValues": 0}	E01334F4-0EE6-4C4D-A582-921B982051CB 
12/03/2019 05:32:07.653 	com.microsoft.Word	0x1126015c0	                        com.microsoft.Word	Orapi	cpknf	Information 	Successfully got the registry values	E01334F4-0EE6-4C4D-A582-921B982051CB 
12/03/2019 05:32:07.653 	com.microsoft.Word	0x1126015c0	                        com.microsoft.Word	Experiment Liblet	bmsqi	Information 	RegistryWrapper::RegistryWrapper > Found peristent data in old format. {"Path": "ExternalFeatureOverrides.word", "NumValues": 0}	E01334F4-0EE6-4C4D-A582-921B982051CB 
12/03/2019 05:32:07.653 	com.microsoft.Word	0x1126015c0	                        com.microsoft.Word	Orapi	cpknf	Information 	Successfully got the registry values	E01334F4-0EE6-4C4D-A582-921B982051CB 
12/03/2019 05:32:07.653 	com.microsoft.Word	0x1126015c0	                        com.microsoft.Word	Experiment Liblet	bmsqi	Information 	RegistryWrapper::RegistryWrapper > Found peristent data in old format. {"Path": "Microsoft.Office.Experimentation.Configs.EcsPersistentStore.word", "NumValues": 0}	E01334F4-0EE6-4C4D-A582-921B982051CB 
12/03/2019 05:32:07.653 	com.microsoft.Word	0x1126015c0	                        com.microsoft.Word	Experiment Liblet	bmsqi	Information 	RegistryWrapper::RegistryWrapper > Found peristent data in old format. {"Path": "Microsoft.Office.Experimentation.Configs.EcsPersistentStore.word", "NumValues": 0}	E01334F4-0EE6-4C4D-A582-921B982051CB 
12/03/2019 05:32:07.653 	com.microsoft.Word	0x1126015c0	                        com.microsoft.Word	Experiment Liblet	bmsqi	Information 	RegistryWrapper::RegistryWrapper > Found peristent data in old format. {"Path": "Microsoft.Office.TrustCenter.Experimentation", "NumValues": 0}	E01334F4-0EE6-4C4D-A582-921B982051CB 
12/03/2019 05:32:07.654 	com.microsoft.Word	0x1126015c0	                        com.microsoft.Word	Experiment Liblet	bef14	Information 	In FlightManager::Init()	E01334F4-0EE6-4C4D-A582-921B982051CB 
12/03/2019 05:32:07.654 	com.microsoft.Word	0x1126015c0	                        com.microsoft.Word	Orapi	az3b4	Information 	Failed to create key with read-only access {"Error": 5, "Key": "Experiment", "Path": "Software\\Microsoft\\Office\\Common\\Experiment", "Options": 12, "OrapiHiveStorageOption": 0}	E01334F4-0EE6-4C4D-A582-921B982051CB 
12/03/2019 05:32:07.654 	com.microsoft.Word	0x1126015c0	                        com.microsoft.Word	Experiment Liblet	bmsqi	Information 	RegistryWrapper::RegistryWrapper > Found peristent data in old format. {"Path": "Microsoft.Office.Experimentation.CurrentUserOverrides", "NumValues": 0}	E01334F4-0EE6-4C4D-A582-921B982051CB 
12/03/2019 05:32:07.654 	com.microsoft.Word	0x1126015c0	                        com.microsoft.Word	Orapi	cpknf	Information 	Successfully got the registry values	E01334F4-0EE6-4C4D-A582-921B982051CB 
12/03/2019 05:32:07.654 	com.microsoft.Word	0x1126015c0	                        com.microsoft.Word	Experiment Liblet	bmsqi	Information 	RegistryWrapper::RegistryWrapper > Found peristent data in old format. {"Path": "Microsoft.Office.Experimentation.Registry.word.Overrides", "NumValues": 0}	E01334F4-0EE6-4C4D-A582-921B982051CB 
12/03/2019 05:32:07.654 	com.microsoft.Word	0x1126015c0	                        com.microsoft.Word	Orapi	cpknf	Information 	Successfully got the registry values	E01334F4-0EE6-4C4D-A582-921B982051CB 
12/03/2019 05:32:07.654 	com.microsoft.Word	0x1126015c0	                        com.microsoft.Word	Experiment Liblet	bmsqi	Information 	RegistryWrapper::RegistryWrapper > Found peristent data in old format. {"Path": "Microsoft.Office.Experimentation.Registry.all.Overrides", "NumValues": 0}	E01334F4-0EE6-4C4D-A582-921B982051CB 
12/03/2019 05:32:07.654 	com.microsoft.Word	0x1126015c0	                        com.microsoft.Word	Orapi	cpknf	Information 	Successfully got the registry values	E01334F4-0EE6-4C4D-A582-921B982051CB 
12/03/2019 05:32:07.654 	com.microsoft.Word	0x1126015c0	                        com.microsoft.Word	Experiment Liblet	ble15	Information 	RegistryWrapper::ReadFromOrapi > Registry read failed, perhaps key not present yet. {"Path": "Microsoft.Office.TrustCenter.Experimentation", "Key": "DisableFeatureRollout"}	E01334F4-0EE6-4C4D-A582-921B982051CB 
12/03/2019 05:32:07.655 	com.microsoft.Word	0x1126015c0	                        com.microsoft.Word	Activity	bjtct	Information 	ActivityStarted {"Name": "Office.Experimentation.LoadingFirstSessionCache", "CV": "9DQT4OYOTUylgpIbmCBRyw.1.2.1", "ProcessIdentifier": ""}	E01334F4-0EE6-4C4D-A582-921B982051CB 
12/03/2019 05:32:07.655 	com.microsoft.Word	0x1126015c0	                        com.microsoft.Word	Experiment Liblet	bmsqi	Information 	RegistryWrapper::RegistryWrapper > Found peristent data in old format. {"Path": "Microsoft.Office.Experimentation.Configs.FirstSessionPersistentStore.word", "NumValues": 0}	E01334F4-0EE6-4C4D-A582-921B982051CB 
12/03/2019 05:32:07.655 	com.microsoft.Word	0x1126015c0	                        com.microsoft.Word	Experiment Liblet	ble15	Information 	RegistryWrapper::ReadFromOrapi > Registry read failed, perhaps key not present yet. {"Path": "Microsoft.Office.Experimentation.Configs.FirstSessionPersistentStore.word", "Key": "Expires"}	E01334F4-0EE6-4C4D-A582-921B982051CB 
12/03/2019 05:32:07.655 	com.microsoft.Word	0x1126015c0	                        com.microsoft.Word	Activity	bjtcw	Information 	ActivityEnded {"Name": "Office.Experimentation.LoadingFirstSessionCache", "CV": "9DQT4OYOTUylgpIbmCBRyw.1.2.1", "ProcessIdentifier": ""}	E01334F4-0EE6-4C4D-A582-921B982051CB 
12/03/2019 05:32:07.655 	com.microsoft.Word	0x1126015c0	                        com.microsoft.Word	Telemetry Event	biyhq	Information 	SendEvent {"EventName": "Office.Experimentation.LoadingFirstSessionCache", "Flags": 28147506277843201, "InternalSequenceNumber": 2, "Time": 2019-12-03T05:32:07Z, "Contract": "Office.System.Activity", "Activity.CV": "9DQT4OYOTUylgpIbmCBRyw.1.2.1", "Activity.Duration": 716, "Activity.Count": 1, "Activity.AggMode": 0, "Activity.Success": false, "Activity.Result.Code": 0, "Activity.Result.Type": "FirstSessionCacheUsed", "Data.PersistentRoot": "Microsoft.Office.Experimentation.Configs.EcsPersistentStore"}	E01334F4-0EE6-4C4D-A582-921B982051CB 
12/03/2019 05:32:07.657 	com.microsoft.Word	0x1126015c0	                        com.microsoft.Word	Experiment Liblet	bmsqi	Information 	RegistryWrapper::RegistryWrapper > Found peristent data in old format. {"Path": "Microsoft.Office.Experimentation.Configs.EcsPersistentStore.word.ConfigContextData", "NumValues": 0}	E01334F4-0EE6-4C4D-A582-921B982051CB 
